n_features  assam_tea    clutter      house   mandrill 
       250        251        251        251        251 
       500        366        501        303        501 
       750        422        752        303        752 
      1000        427       1000        303       1000 
      1250        427       1250        303       1250 
      1500        427       1466        303       1499 
      1750        427       1577        303       1750 
      2000        427       1632        303       2000 
      2250        427       1672        303       2251 
      2500        427       1672        303       2501 
      2750        427       1672        303       2749 
      3000        427       1672        303       3000 
      3250        427       1672        303       3250 
      3500        427       1672        303       3501 
      3750        427       1672        303       3751 
      4000        427       1672        303       4000 
      4250        427       1672        303       4250 
      4500        427       1672        303       4499 
      4750        427       1672        303       4749 
      5000        427       1672        303       5000 
      5250        427       1672        303       5250 
      5500        427       1672        303       5501 
      5750        427       1672        303       5751 
      6000        427       1672        303       5999 
      6250        427       1672        303       6250 
      6500        427       1672        303       6500 
      6750        427       1672        303       6749 
      7000        427       1672        303       7000 
      7250        427       1672        303       7250 
      7500        427       1672        303       7501 
      7750        427       1672        303       7749 
      8000        427       1672        303       7999 
      8250        427       1672        303       8250 
      8500        427       1672        303       8500 
      8750        427       1672        303       8751 
      9000        427       1672        303       9001 
      9250        427       1672        303       9250 
      9500        427       1672        303       9500 
      9750        427       1672        303       9749 
     10000        427       1672        303       9999 
     10250        427       1672        303      10250 
     10500        427       1672        303      10500 
     10750        427       1672        303      10751 
     11000        427       1672        303      11002 
     11250        427       1672        303      11249 
     11500        427       1672        303      11500 
     11750        427       1672        303      11748 
     12000        427       1672        303      11942 
     12250        427       1672        303      12072 
     12500        427       1672        303      12187 
     12750        427       1672        303      12301 
     13000        427       1672        303      12416 
     13250        427       1672        303      12531 
     13500        427       1672        303      12646 
     13750        427       1672        303      12761 
     14000        427       1672        303      12876 
     14250        427       1672        303      12991 
     14500        427       1672        303      13105 
     14750        427       1672        303      13220 
     15000        427       1672        303      13335 
     15250        427       1672        303      13450 
     15500        427       1672        303      13565 
     15750        427       1672        303      13680 
     16000        427       1672        303      13795 
     16250        427       1672        303      13865 
     16500        427       1672        303      13865 
